sentiment ,description
0,"1 -1 0 I dont no .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 ??[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 PICSART &lt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 VishayAm [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 A Good [proper noun] app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 EXELENT .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Must download [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,1 -1 0 
0,1 -1 0 
0,"1 -1 0 CELKON A95 [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 I'm not wrighting [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 No indeed [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsome [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Easy to use [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Need a new addition [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Still Great [proper noun] .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Robin [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 oawaw [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 SuPpA [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Instagram's Best [proper noun] Friend [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Suman chowdary [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,1 -1 0 
0,"1 -1 0 I believe pics art gives you the opportunity t adventurer .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Samsung dopaminergic [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"2 -2 0 A good[2] program that with a few more featuresMany effects are possible to use to make photos look uniquely yours .[sentence: 2,-1] To make this a top 5 star program there should be options for transparent shape fills with a glossy look ,and the capability to capture[-2] the screen ,parts of the screen like[2] top PC photo editing software programs offer .[sentence: 2,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Look no further [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gre ?t [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nalla iruku [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Janvi [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Long time [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mast [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nik [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Its superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 awsome [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Very very [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 My Samsung [proper noun] galaxy note 3 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 grttt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 So much use [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Jabardast [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Bestest [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Samsung GALAXY S4 [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Abdullah Ibrahim [proper noun] Alyaarobi [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 exelent [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Graceous janeth [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 5 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 keeps getting better ....[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Wawwww [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud working [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Fck [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Deine g ?[sentence: 1,-1] t gut [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Its grate [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud job [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Note2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Background [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 its works [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsome [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 very [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Does its job ...[sentence: 1,-1] I am using it occasionally and it makes what I need to .[sentence: 1,-1] No major disadvs found up to now but I would at least add other output formats (only PNG ,JPG currently available ).[sentence: 1,-1] Is there a selection tool to edit and work with image parts ?[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Not all old masks are back [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Exclusive [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 So Good [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 So superb app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Goldie [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Very [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 N [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Bb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pics art [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Lyk it [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Exellent [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Moka [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 5 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Samsung tab2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Y [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 U are chirkut [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 amezing ,suprb .....[sentence: 1,-1] photo editr [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 It has too much options to edit .[sentence: 1,-1] ..[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 100 +[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok laa [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Raja Sam [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Keep on doing gud tins 4 usDis app iz very gud ,eassy to use nd it has a very gud effects .[sentence: 1,-1] u people are doing a gr8 job [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 no [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 C2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 I jux can't stop using this app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 I lo [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Deleted [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 0 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Turnts [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Its owsm [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Xperia sp [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Yeah [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"2 -2 0 AwsomeLove it but ....[sentence: 1,-1] One problem[-2] I would like[2] [+-1 booster word] too be able too use it offline too ,cause some places I go there is no internet at all ....[sentence: 1,-2] Fix this and I give last star .[sentence: 1,-1] Plz ![+1 punctuation mood emphasis] [sentence: 2,-1] =^_ ^=[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mayank [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 First class [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Dependable and Free [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ganesh lg p350 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Sss [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pliz tri [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pic's art [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pic Art [proper noun] Photo [proper noun] Studio [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 yeah [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud one [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 okay [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Shoo [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picasa [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 No words to describe [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 This app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Jen [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 App [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Very Good [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 5 stars [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Note 2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"2 -2 0 Maricela lovesI like[2] this app \'Love [proper noun] \'mah bad[-2] [sentence: 2,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Move by itself [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 dont compress the file [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Enfadada pero esta genial [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Cant download [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 roxiee [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 App [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nyc app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Always work [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 most powerful &simple [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Galaxy Note [proper noun] 2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Need to beable to [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 F [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Simple [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Galaxy S3 [proper noun] .[sentence: 1,-1] 4G .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Galaxy s [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Sohailimran [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Jgb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 ?[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mast [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nyc one [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Supperb Apps [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awesum app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Galaxy s1 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pic art ...[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 After update won't work [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Hi [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 This is it [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Micromax canvas music [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Add colour picker [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Must have [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 S4Mini [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Aziziy [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 FINEST APP [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Oh man [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 100 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb pink editing by it [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Been using this for ages [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Live [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Editerz [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Huka [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud app to edit ...[sentence: 1,-1] pics ....[sentence: 1,-1] but only ...[sentence: 1,-1] for ...[sentence: 1,-1] me [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Unexy [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Install it [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Better than all [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Constant Updates [proper noun] ??[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 C -app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 K [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awesm [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Arabic fonts [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Wish I could give 0 stars [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Xperia SP [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Awwwww [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok ...[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 What [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 0 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Execellent [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 A some [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 I lv this apps [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gr8t app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Prince Rion [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Galaxy ace [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 I already used [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Very [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 V [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Hossam [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 jk KHAJA jk [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 I also use my ipad [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 ?????[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Solid [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 So much use [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Hmm [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Hallo [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gr8 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 U [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Exlent [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 hy [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Extraordinary [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Sabir shaikh [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mobile Photoshop [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Galaxy y [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awesme [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Salman shaikh [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Jude [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Photo editor [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mokka [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 4 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 download now [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Sony xperia z ultra [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Chutiya jevu 6e [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Ganesh galaxy s2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nyssh [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Rahul [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nothing [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 This s an awsm app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Madhan kumar [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pic [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsome [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsum app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gr8 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Jenil Malkan [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ghost [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
